dates,number_of_marriage
2017-04-14,4
2020-09-26,11
2023-08-12,6
2019-12-21,9
2023-11-05,11
2019-08-08,7
2023-05-24,10
2018-11-08,7
2019-05-15,9
2018-06-08,7
2023-01-06,11
2016-06-22,8
2019-04-08,14
2022-08-29,3
2022-09-18,7
2021-08-27,12
2018-03-06,13
2021-01-21,5
2022-08-30,11
2020-05-10,11
2018-02-27,10
2018-10-10,13
2020-07-22,8
2021-03-18,11
2021-09-30,9
2020-07-26,8
2018-06-18,7
2019-09-16,12
2021-03-08,14
2015-09-15,9
2022-04-20,12
2016-03-27,14
2023-09-19,17
2020-11-19,6
2023-07-08,6
2016-02-16,8
2019-12-26,8
2019-03-23,10
2022-10-02,7
2020-07-17,13
2015-12-04,6
2023-08-31,12
2018-10-16,9
2019-01-29,13
2019-12-30,8
2016-11-28,12
2018-07-05,5
2016-12-11,3
2021-11-05,7
2021-03-10,14
2016-12-29,16
2016-05-06,6
2023-04-30,10
2015-01-29,3
2022-03-16,8
2015-12-04,8
2018-02-07,4
2022-02-07,14
2015-09-09,8
2019-09-25,12
2015-09-12,9
2020-09-18,7
2018-05-05,12
2019-01-22,11
2020-07-04,10
2016-02-26,4
2021-11-15,12
2022-09-18,7
2021-01-01,12
2018-09-30,10
2018-04-06,11
2021-10-12,9
2020-07-20,10
2020-06-10,11
2018-07-28,10
2021-06-12,7
2023-02-20,7
2020-09-08,9
2019-07-22,11
2020-10-20,18
2017-12-30,11
2016-03-28,7
2020-11-02,8
2018-12-23,7
2019-08-24,12
2022-12-14,11
2019-04-15,8
2016-08-03,11
2015-11-17,12
2017-08-13,16
2015-02-23,8
2016-03-09,14
2016-09-02,7
2022-03-14,11
2021-07-26,13
2023-04-18,9
2021-06-24,8
2015-01-29,9
2019-06-24,8
2021-04-22,11
